Which odd won,Lowest 2 values
3.4,"2.1, 3.4"
2.05,"2.05, 3.4"
1.45,"1.45, 4.5"
1.8,"1.8, 3.8"
3.5,"2.1, 3.4"
3.2,"2.37, 3.1"
1.28,"1.28, 5.75"
3.5,"2.5, 2.7"
3.1,"2.37, 3.1"
5.5,"1.3, 5.5"
1.83,"1.83, 3.8"
4.2,"1.85, 3.6"
1.66,"1.66, 3.75"
1.22,"1.22, 6.5"
3.2,"2.7, 2.75"
1.33,"1.33, 5.5"
2.37,"2.37, 3"
3.8,"1.7, 3.8"
3.3,"2, 3.3"
7,"1.44, 4.5"
2.15,"2.15, 3.2"
2.62,"2.62, 2.7"
2.4,"2.4, 2.87"
1.5,"1.5, 4.33"
1.28,"1.28, 5.5"
5.5,"1.7, 3.5"
2.25,"2.25, 3.1"
1.22,"1.22, 6.5"
4.2,"1.95, 3.3"
3.2,"2.15, 3.2"
3.2,"2.2, 3.2"
3.2,"2.2, 3.2"
2.8,"2.5, 2.8"
1.53,"1.53, 4"
3.4,"2.15, 3.4"
1.36,"1.36, 5"
2.15,"2.15, 3.3"
1.18,"1.18, 7"
3.25,"2, 3.25"
3.75,"2.05, 3.4"
4.75,"1.4, 4.75"
1.9,"1.9, 3.6"
1.83,"1.83, 3.6"
3,"2.25, 3"
4,"1.61, 4"
2,"2, 3.5"
3.25,"2.37, 3.1"
2.8,"2.55, 2.8"
3.2,"2.37, 3.1"
8.5,"1.36, 5"
7,"1.45, 4.5"
1.45,"1.45, 4.5"
1.53,"1.53, 4"
2.05,"2.05, 3.5"
1.18,"1.18, 7.5"
3.3,"2.05, 3.3"
4,"1.7, 4"
2.15,"2.15, 3.2"
4.5,"1.83, 3.5"
1.33,"1.33, 5"
2.5,"2.5, 2.9"
1.5,"1.5, 4.2"
2.55,"2.55, 2.75"
1.83,"1.83, 3.6"
1.72,"1.72, 3.75"
3,"2.37, 3"
1.66,"1.66, 3.5"
3.5,"2.45, 2.8"
2.45,"2.45, 2.9"
