Which odd won,Lowest 2 values
1.2,"1.2, 6.5"
1.95,"1.95, 3.4"
3.9,"1.8, 3.9"
1.28,"1.28, 5.5"
1.85,"1.85, 3.8"
5.5,"1.6, 4"
1.33,"1.33, 5.25"
4.5,"1.44, 4.5"
1.66,"1.66, 4.33"
2.7,"2.6, 2.7"
1.16,"1.16, 8.5"
3.5,"2.2, 3.25"
3.6,"1.83, 3.6"
4,"1.66, 4"
11,"1.1, 11"
2.2,"2.2, 3.25"
3,"2.4, 3"
3.5,"2.37, 2.9"
6,"1.5, 4.5"
4.33,"1.83, 3.75"
1.36,"1.36, 5.25"
2.8,"2.45, 2.8"
2.87,"2.45, 2.87"
2.7,"2.7, 2.7"
4.1,"1.55, 4.1"
1.4,"1.4, 5"
3.9,"1.72, 3.9"
1.53,"1.53, 4.33"
1.4,"1.4, 5"
9,"1.36, 4.75"
1.61,"1.61, 3.8"
1.33,"1.33, 5.5"
3.6,"2.5, 2.7"
2.1,"2.1, 3.3"
2.5,"2.5, 3.1"
1.25,"1.25, 6"
3.4,"2.2, 3.3"
2.62,"2.62, 2.75"
3.3,"2.6, 2.75"
3.25,"2.25, 3.25"
3.6,"2, 3.6"
5.5,"1.53, 4.6"
1.61,"1.61, 3.8"
3.4,"2.1, 3.4"
1.66,"1.66, 3.6"
3.3,"2.5, 2.87"
4.75,"1.75, 3.8"
1.25,"1.25, 6.25"
1.85,"1.85, 3.8"
1.4,"1.4, 4.75"
4.5,"1.85, 3.5"
1.12,"1.12, 9.5"
1.72,"1.72, 4"
2.1,"2.1, 3.3"
1.95,"1.95, 3.4"
3.4,"1.95, 3.4"
1.61,"1.61, 4.33"
1.7,"1.7, 4.2"
1.6,"1.6, 3.9"
1.5,"1.5, 4.2"
2,"2, 3.6"
1.16,"1.16, 8"
4.33,"1.72, 4.1"
3.9,"2.05, 3.25"
3.8,"1.72, 3.8"
3.1,"2.62, 2.9"
2.65,"2.5, 2.65"
8,"1.4, 4.75"
3.25,"2.5, 2.9"
3,"2.45, 3"
1.22,"1.22, 6.5"
1.57,"1.57, 4.4"
2.55,"2.55, 2.9"
1.65,"1.65, 3.75"
5.25,"1.61, 4.1"
3.9,"1.61, 3.9"
3.3,"2.62, 2.7"
1.8,"1.8, 3.9"
5,"1.6, 4.33"
1.36,"1.36, 5.25"
3.4,"2.25, 3.2"
1.36,"1.36, 5.25"
2.45,"2.45, 2.8"
3.4,"2.37, 3"
3.5,"2.05, 3.5"
3.1,"2.37, 3.1"
2.1,"2.1, 3.4"
3,"2.45, 3"
3.3,"2.37, 3.1"
1.5,"1.5, 4.5"
4.2,"1.55, 4.2"
1.12,"1.12, 9"
4,"1.6, 4"
1.66,"1.66, 4"
1.4,"1.4, 4.5"
3.3,"2.3, 3.2"
1.9,"1.9, 3.6"
1.55,"1.55, 4"
1.22,"1.22, 6.5"
3,"2.45, 3"
2.62,"2.6, 2.62"
4,"1.8, 4"
1.75,"1.75, 3.7"
2.87,"2.5, 2.87"
3.4,"2.25, 3.2"
1.61,"1.61, 3.8"
1.44,"1.44, 4.75"
3.2,"2.4, 3.1"
2.5,"2.5, 2.9"
5.5,"1.57, 4.33"
4.2,"1.95, 3.4"
2.05,"2.05, 3.3"
2.2,"2.2, 3.3"
1.66,"1.66, 3.6"
1.16,"1.16, 7.5"
3.25,"2.25, 3.25"
1.4,"1.4, 4.75"
3,"2.7, 2.9"
3.3,"2.6, 2.75"
1.33,"1.33, 5.5"
8.5,"1.3, 6"
2.1,"2.1, 3.4"
1.4,"1.4, 4.5"
1.7,"1.7, 3.75"
3.5,"2.3, 3"
1.12,"1.12, 9"
3.8,"2.1, 3.2"
3.9,"2, 3.4"
1.53,"1.53, 4.33"
3.8,"1.66, 3.8"
3.5,"2.05, 3.5"
1.33,"1.33, 5.25"
1.95,"1.95, 3.75"
1.8,"1.8, 3.6"
6.5,"1.22, 6.5"
6,"1.6, 3.8"
1.28,"1.28, 5.5"
2.05,"2.05, 3.3"
2.25,"2.25, 3.3"
2.62,"2.62, 2.7"
5.25,"1.66, 3.8"
5.5,"1.3, 5.5"
1.12,"1.12, 9.5"
3.3,"1.9, 3.3"
1.14,"1.14, 8.5"
1.75,"1.75, 3.8"
3.8,"1.9, 3.8"
3.5,"2, 3.5"
2.05,"2.05, 3.25"
1.36,"1.36, 4.75"
3.3,"2.15, 3.3"
2.4,"2.4, 3"
2.25,"2.25, 3.2"
2.8,"2.4, 2.8"
2.25,"2.25, 3.25"
3.4,"1.9, 3.4"
3.5,"2.2, 3.25"
1.5,"1.5, 4"
1.33,"1.33, 5.5"
3.3,"2.1, 3.3"
6.5,"1.22, 6.5"
2,"2, 3.5"
1.9,"1.9, 3.8"
3,"2.37, 3"
1.85,"1.85, 3.8"
4.2,"1.55, 4.2"
3,"2.25, 3"
2.2,"2.2, 3.25"
1.08,"1.08, 11"
1.36,"1.36, 5.25"
2.15,"2.15, 3.3"
3.6,"2.3, 3"
